Edition,Rank,Artist,Song,songid,Released
2004,297,Neil Young,Heart of Gold,Heart of GoldNeil Young,1972
2004,298,Blondie,One Way or Another,One Way or AnotherBlondie,1979
2004,299,Prince,Sign 'O' The Times,Sign 'O' The TimesPrince,1993
2004,300,Madonna,Like a Prayer,Like a PrayerMadonna,1989
2004,301,Rod Stewart,Do Ya Think I'm Sexy?,Do Ya Think I'm Sexy?Rod Stewart,1979
2004,302,Willie Nelson,Blue Eyes Crying in the Rain,Blue Eyes Crying in the RainWillie Nelson,1998
2004,303,The Rolling Stones,Ruby Tuesday,Ruby TuesdayThe Rolling Stones,1967
2004,304,The Beatles,With a Little Help From My Friends,With a Little Help From My FriendsThe Beatles,1969
2004,305,James Brown,Say It Loud (I'm Back And I'm Proud),Say It Loud (I'm Back And I'm Proud)James Brown,1991
2004,306,The Jam,That's Entertainment,That's EntertainmentThe Jam,1991
2004,307,Frankie Lymon and The Teenagers,What a Fool Believes,What a Fool BelievesFrankie Lymon and The Teenagers,1956
2004,308,Jackie Wilson,Lonely Teardrops,Lonely TeardropsJackie Wilson,1959
2004,309,Tina Turner,What's Love Got to Do With It,What's Love Got to Do With ItTina Turner,1984
2004,310,Black Sabbath,Iron Man,Iron ManBlack Sabbath,1970
2004,311,Everly Brothers,Wake Up Little Susie,Wake Up Little SusieEverly Brothers,1957
2004,312,Roy Orbison,In Dreams,In DreamsRoy Orbison,1963
2004,313,Screamin' Jay Hawkins,I Put a Spell on You,I Put a Spell on YouScreamin' Jay Hawkins,1990
2004,314,Pink Floyd,Comfortably Numb,Comfortably NumbPink Floyd,1980
2004,315,The Animals,Don't Let Me Be Misunderstood,Don't Let Me Be MisunderstoodThe Animals,2003
2004,316,Pink Floyd,Wish You Were Here,Wish You Were HerePink Floyd,1975
2004,317,Jimmy Cliff,Many Rivers to Cross,Many Rivers to CrossJimmy Cliff,1969
2004,318,Elvis Costello,Alison,AlisonElvis Costello,1978
2004,319,Alice Cooper,School's Out,School's OutAlice Cooper,1972
2004,320,Led Zeppelin,Heartbreaker,HeartbreakerLed Zeppelin,1990
2004,321,Neil Young,Cortez the Killer,Cortez the KillerNeil Young,1977
2004,322,Public Enemy,Fight the Power,Fight the PowerPublic Enemy,2005
2004,323,Patti Smith,Dancing Barefoot,Dancing BarefootPatti Smith,1992
2004,324,The Supremes,Baby Love,Baby LoveThe Supremes,1964
2004,325,The Young Rascals,Good Lovin',Good Lovin'The Young Rascals,1966
2004,326,James Brown,Sex Machine,Sex MachineJames Brown,1970
2004,327,The Impressions,For Your Precious Love,For Your Precious LoveThe Impressions,2001
2004,328,The Doors,The End,The EndThe Doors,1985
2004,329,"Earth, Wind, and Fire",That's the Way of the World,"That's the Way of the WorldEarth, Wind, and Fire",1978
2004,330,Queen,We Will Rock You,We Will Rock YouQueen,1977
2004,331,Bonnie Raitt,I Can't Make You Love Me,I Can't Make You Love MeBonnie Raitt,1991
2004,332,Bob Dylan,Subterranean Homesick Blues,Subterranean Homesick BluesBob Dylan,1965
2004,333,Norman Greenbaum,Spirit in the Sky,Spirit in the SkyNorman Greenbaum,1969
2004,334,The Rolling Stones,Wild Horses,Wild HorsesThe Rolling Stones,1971
2004,335,The Velvet Underground,Sweet Jane,Sweet JaneThe Velvet Underground,1998
2004,336,Aerosmith,Walk This Way,Walk This WayAerosmith,1975
2004,337,Michael Jackson,Beat It,Beat ItMichael Jackson,1983
2004,338,Paul McCartney and Wings,Maybe I'm Amazed,Maybe I'm AmazedPaul McCartney and Wings,2001
