,id,title,album,all_artists,artist_tags,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
386,6f3Slt0GbA2bPZlz0aIFXN,The Business,The Business,'Tiësto',"'big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance'",79,2020-09-16,False,0.798,0.62,8,-7.079,0,0.414,0.0192,0.112,0.235,120.031,164000,4
387,7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,"'DaBaby', 'Roddy Ricch'","'hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap', 'melodic rap', 'rap', 'trap'",79,2020-04-17,True,0.746,0.69,11,-7.956,1,0.247,0.0,0.101,0.497,89.977,181733,4
388,5jrdCoLpJSvHHorevXBATy,Dark Horse,PRISM (Deluxe),"'Katy Perry', 'Juicy J'","'pop', 'crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'",79,2013-10-18,False,0.645,0.585,6,-6.122,1,0.00314,0.0,0.165,0.353,131.931,215672,4
389,01aTsQoKoeXofSTvKuunzv,Lean On,Peace Is The Mission,"'Major Lazer', 'DJ Snake', 'MØ'","'dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'edm', 'electronic trap', 'pop', 'pop dance', 'dance pop', 'danish pop', 'electropop', 'pop dance'",79,2015-06-01,False,0.723,0.809,7,-3.081,0,0.00346,0.00123,0.565,0.274,98.007,176561,4
390,4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),"'Lil Wayne', 'Wiz Khalifa', 'Imagine Dragons', 'X Ambassadors', 'Logic', 'Ty Dolla $ign'","'hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'modern rock', 'pop', 'rock', 'modern alternative rock', 'modern rock', 'stomp pop', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul'",79,2016-06-24,True,0.502,0.786,9,-4.378,0,0.255,0.0,0.65,0.739,169.021,243491,4
391,1Ist6PR2BZR3n2z2Y5R6S1,Summertime Sadness,Born To Die – Paradise Edition (Special Version),'Lana Del Rey',"'art pop', 'pop'",79,2012-01-01,False,0.566,0.647,1,-6.815,0,0.0477,0.0,0.121,0.22,111.96,264773,4
392,5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)","'Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars'","'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'dance pop', 'pop'",79,2011-10-11,True,0.715,0.655,0,-6.425,1,0.0525,0.0,0.115,0.531,95.078,207333,4
393,1I8tHoNBFTuoJAlh4hfVVE,Firestone,Cloud Nine,"'Kygo', 'Conrad Sewell'","'edm', 'pop', 'pop dance', 'tropical house', 'australian pop'",79,2016-05-13,False,0.704,0.634,11,-7.374,0,0.393,3.17e-05,0.0952,0.411,113.927,271640,4
394,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,Making Mirrors,"'Gotye', 'Kimbra'","'australian pop', 'bergen indie', 'electropop', 'nz pop'",79,2011-01-01,False,0.864,0.495,0,-7.036,1,0.591,0.000133,0.0992,0.72,129.062,244973,4
395,3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),Teenage Dream,'Katy Perry','pop',79,2010-01-01,False,0.652,0.812,3,-3.797,0,0.00125,3.01e-05,0.667,0.72,126.023,230733,4
396,4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,"'BTS', 'Halsey'","'k-pop', 'k-pop boy group', 'pop', 'electropop', 'etherpop', 'indie poptimism', 'pop'",79,2019-04-12,False,0.645,0.862,11,-4.761,0,0.0933,0.0,0.193,0.803,119.947,229773,4
397,7hU3IHwjX150XLoTVmjD0q,MONEY,LALISA,'LISA','k-pop',79,2021-09-10,True,0.831,0.554,1,-9.998,0,0.161,6.12e-05,0.152,0.396,140.026,168228,4
398,696DnlkuDOXcMAnKlTgXXK,ROXANNE,ROXANNE,'Arizona Zervas',"'indie pop rap', 'pop rap', 'rhode island rap'",79,2019-10-10,True,0.621,0.601,6,-5.616,0,0.0522,0.0,0.46,0.457,116.735,163636,5
399,6rY5FAWxCdAGllYEOZMbjW,SLOW DANCING IN THE DARK,BALLADS 1,'Joji','viral pop',79,2018-10-26,True,0.517,0.479,3,-7.458,1,0.544,0.00598,0.191,0.284,88.968,209274,4
400,1KxwZYyzWNyZSRyErj2ojT,Let Her Go,All The Little Lights,'Passenger',"'folk-pop', 'neo mellow'",79,2012-08-28,False,0.479,0.545,7,-7.346,1,0.365,0.0,0.0963,0.243,74.897,252733,4
401,5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)","'Hailee Steinfeld', 'Alesso', 'Florida Georgia Line', 'WATT'","'pop', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'modern alternative rock'",79,2017-09-08,False,0.664,0.708,8,-4.154,1,0.0337,0.0,0.0841,0.742,103.07,174800,4
402,2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),'Black Eyed Peas',"'dance pop', 'pop', 'pop rap'",79,2009-01-01,False,0.744,0.766,0,-6.375,1,0.0873,0.0,0.509,0.61,127.966,289133,4
403,748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),"'Doja Cat', 'SZA'","'dance pop', 'pop', 'pop', 'r&b', 'rap'",78,2021-04-09,True,0.762,0.701,8,-3.541,1,0.235,0.000158,0.123,0.742,110.968,208867,4
404,0g5EKLgdKvNlln7TNqBByK,Middle,Encore,"'DJ Snake', 'Bipolar Sunshine'","'edm', 'electronic trap', 'pop', 'pop dance', 'gauze pop'",78,2016-08-05,False,0.583,0.695,9,-5.336,1,0.0141,0.0,0.0527,0.224,104.879,220573,4
