FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
34,New Jersey,1981,"5,658,915   ","3,607,497   ","3,336,698   ","270,799   "
35,New Mexico,1981,"945,726   ","579,757   ","537,837   ","41,920   "
36,New York,1981,"13,421,022   ","8,031,607   ","7,421,093   ","610,514   "
37,North Carolina,1981,"4,377,319   ","2,907,237   ","2,719,606   ","187,631   "
38,North Dakota,1981,"470,644   ","307,754   ","292,679   ","15,075   "
39,Ohio,1981,"8,018,516   ","5,098,336   ","4,614,373   ","483,963   "
40,Oklahoma,1981,"2,265,556   ","1,427,611   ","1,376,365   ","51,246   "
41,Oregon,1981,"1,998,660   ","1,328,381   ","1,199,023   ","129,358   "
42,Pennsylvania,1981,"9,075,749   ","5,451,476   ","4,996,861   ","454,615   "
44,Rhode Island,1981,"726,221   ","476,903   ","440,637   ","36,266   "
45,South Carolina,1981,"2,266,387   ","1,431,228   ","1,314,047   ","117,181   "
46,South Dakota,1981,"493,987   ","331,175   ","315,201   ","15,974   "
47,Tennessee,1981,"3,436,829   ","2,110,445   ","1,923,396   ","187,049   "
48,Texas,1981,"10,587,660   ","7,112,523   ","6,733,807   ","378,716   "
49,Utah,1981,"992,203   ","650,351   ","607,031   ","43,320   "
50,Vermont,1981,"380,848   ","255,965   ","241,290   ","14,675   "
51,Virginia,1981,"3,964,871   ","2,611,486   ","2,457,712   ","153,774   "
53,Washington,1981,"3,129,836   ","2,001,241   ","1,814,897   ","186,344   "
54,West Virginia,1981,"1,450,296   ","772,293   ","690,304   ","81,989   "
55,Wisconsin,1981,"3,511,249   ","2,374,912   ","2,187,847   ","187,065   "
56,Wyoming,1981,"346,145   ","245,592   ","235,357   ","10,235   "
01,Alabama,1982,"2,879,742   ","1,713,224   ","1,476,783   ","236,441   "
02,Alaska,1982,"296,865   ","216,972   ","195,305   ","21,667   "
04,Arizona,1982,"2,141,023   ","1,361,520   ","1,225,888   ","135,632   "
05,Arkansas,1982,"1,690,974   ","1,015,608   ","919,430   ","96,178   "
06,California,1982,"18,601,456   ","12,265,023   ","11,029,220   ","1,235,803   "
08,Colorado,1982,"2,259,166   ","1,598,254   ","1,475,668   ","122,586   "
09,Connecticut,1982,"2,428,716   ","1,618,515   ","1,507,758   ","110,757   "
10,Delaware,1982,"449,499   ","293,602   ","268,830   ","24,772   "
11,District of Columbia,1982,"492,914   ","314,538   ","281,959   ","32,579   "
12,Florida,1982,"8,198,443   ","4,728,174   ","4,324,040   ","404,134   "
13,Georgia,1982,"4,104,580   ","2,668,990   ","2,461,101   ","207,889   "
15,Hawaii,1982,"689,816   ","459,169   ","431,034   ","28,135   "
16,Idaho,1982,"678,021   ","443,477   ","399,341   ","44,136   "
17,Illinois,1982,"8,502,786   ","5,576,377   ","4,944,976   ","631,401   "
18,Indiana,1982,"4,022,794   ","2,593,044   ","2,284,854   ","308,190   "
19,Iowa,1982,"2,139,032   ","1,403,735   ","1,285,764   ","117,971   "
20,Kansas,1982,"1,761,495   ","1,188,653   ","1,112,893   ","75,760   "
21,Kentucky,1982,"2,690,729   ","1,678,475   ","1,497,508   ","180,967   "
22,Louisiana,1982,"3,081,085   ","1,848,354   ","1,659,975   ","188,379   "
23,Maine,1982,"842,817   ","520,759   ","476,427   ","44,332   "
24,Maryland,1982,"3,248,907   ","2,193,598   ","2,014,825   ","178,773   "
25,Massachusetts,1982,"4,461,648   ","2,992,852   ","2,758,667   ","234,185   "
26,Michigan,1982,"6,751,810   ","4,267,539   ","3,609,538   ","658,001   "
27,Minnesota,1982,"3,063,020   ","2,155,306   ","1,986,836   ","168,470   "
28,Mississippi,1982,"1,806,704   ","1,060,169   ","943,935   ","116,234   "
29,Missouri,1982,"3,683,452   ","2,313,840   ","2,099,238   ","214,602   "
30,Montana,1982,"587,789   ","387,456   ","354,171   ","33,285   "
31,Nebraska,1982,"1,154,414   ","775,745   ","733,194   ","42,551   "
32,Nevada,1982,"669,115   ","490,769   ","441,910   ","48,859   "
33,New Hampshire,1982,"708,677   ","485,319   ","452,064   ","33,255   "
34,New Jersey,1982,"5,708,580   ","3,635,940   ","3,317,248   ","318,692   "
35,New Mexico,1982,"970,550   ","598,219   ","544,159   ","54,060   "
36,New York,1982,"13,515,867   ","8,032,577   ","7,333,550   ","699,027   "
37,North Carolina,1982,"4,452,563   ","2,955,629   ","2,680,579   ","275,050   "
38,North Dakota,1982,"475,234   ","311,120   ","293,925   ","17,195   "
39,Ohio,1982,"8,019,866   ","5,113,747   ","4,462,876   ","650,871   "
40,Oklahoma,1982,"2,339,380   ","1,480,319   ","1,389,839   ","90,480   "
41,Oregon,1982,"2,003,943   ","1,326,031   ","1,175,726   ","150,305   "
42,Pennsylvania,1982,"9,093,172   ","5,444,963   ","4,853,704   ","591,259   "
44,Rhode Island,1982,"731,252   ","480,443   ","433,169   ","47,274   "
45,South Carolina,1982,"2,306,997   ","1,481,395   ","1,321,621   ","159,774   "
46,South Dakota,1982,"494,001   ","331,746   ","313,776   ","17,970   "
